potential,current,current_filtered_50Hz,current_filtered_60Hz,basecurrent_4
-511.8125,-3.7791733478514365e-08,-4.080060963264465e-08,-4.005305148941993e-08,2.8745733016290243e-08
-512.3125,-3.9570336290638006e-08,-4.1325790645848575e-08,-4.067934793783334e-08,2.8766372415201688e-08
-512.8125,-4.011949381663328e-08,-4.09394746346086e-08,-4.056497383802647e-08,2.878701988055051e-08
-513.3125,-4.0874486073790316e-08,-4.11985302740413e-08,-4.1333253856723985e-08,2.8807675391156154e-08
-513.8125,-4.2270029656493217e-08,-4.088855217332742e-08,-4.120799601150676e-08,2.882833892584618e-08
-514.3125,-4.3725972619768695e-08,-4.1353178330785606e-08,-4.2023575296302613e-08,2.8849010463456253e-08
-514.8125,-4.3467685794951814e-08,-4.0737310765332373e-08,-4.179117787381332e-08,2.8869689982830126e-08
-515.3125,-4.526138845221858e-08,-4.1454157274370736e-08,-4.242789843298028e-08,2.889037746281966e-08
-515.8125,-4.4533416970580855e-08,-4.0816314095958126e-08,-4.2009014638796144e-08,2.891107288228481e-08
-516.3125,-4.447619650477527e-08,-4.1289527697209355e-08,-4.231947120464861e-08,2.8931776220093645e-08
-516.8125,-4.4071679600677444e-08,-4.096582450755748e-08,-4.184712018085877e-08,2.8952487455122327e-08
-517.3125,-4.3280129823700167e-08,-4.116996926145493e-08,-4.179411568522424e-08,2.8973206566255114e-08
-517.8125,-4.192750159035145e-08,-4.1058093349419536e-08,-4.1384934355721024e-08,2.8993933532384368e-08
-518.3125,-4.1147078015058594e-08,-4.105701622770287e-08,-4.1012555975710115e-08,2.9014668332410555e-08
-518.8125,-3.981272854162e-08,-4.1245852879413015e-08,-4.075657892155952e-08,2.9035410945242242e-08
-519.3125,-3.828684945347103e-08,-4.086100475884321e-08,-4.031257471104787e-08,2.905616134979609e-08
-519.8125,-3.861268821708618e-08,-4.1317351524544953e-08,-4.022029980464105e-08,2.9076919524996867e-08
